name	code
amulet	amu
ring	rin
Hand Axe	hax
Axe	axe
Double Axe	2ax
Military Pick	mpi
War Axe	wax
Large Axe	lax
Broad Axe 	bax
Battle Axe	btx
Great Axe	gax
Giant Axe	gix
Club	clb
Spiked Club	spc
Mace	mac
Morning Star	mst
Flail	fla
War Hammer	whm
Maul	mau
Great Maul	gma
Short Sword	ssd
Scimitar	scm
Saber	sbr
Falchion	flc
Crystal Sword	crs
Broad Sword	bsd
Long Sword 	lsd
War Sword	wsd
Two-Handed Sword	2hs
Claymore	clm
Giant Sword	gis
Bastard Sword	bsw
Flamberge	flb
Great Sword	gsd
Dagger	dgr
Dirk	dir
Kriss	kri
Blade	bld
Spear	spr
Trident	tri
Brandistock	brn
Spetum	spt
Pike	pik
Bardiche	bar
Voulge	vou
Scythe	scy
Poleaxe	pax
Halberd	hal
War Scythe	wsc
Short Bow	sbw
Hunter's Bow	hbw
Long Bow	lbw
Composite Bow	cbw
Short Battle Bow	sbb
Long Battle Bow	lbb
Short War Bow	swb
Long War Bow	lwb
Light Crossbow	lxb
Crossbow	mxb
Heavy Crossbow	hxb
Repeating Crossbow	rxb
Cap/hat	cap
Skull Cap	skp
Helm	hlm
Full Helm	fhl
Great Helm	ghm
Crown	crn
Mask	msk
Quilted Armor	qui
Leather Armor	lea
Hard Leather Armor	hla
Studded Leather 	stu
Ring Mail	rng
Scale Mail	scl
Chain Mail	chn
Breast Plate	brs
Splint Mail	spl
Plate Mail	plt
Field Plate	fld
Gothic Plate	gth
Full Plate Mail	ful
Ancient Armor	aar
Light Plate	ltp
Buckler	buc
Small Shield	sml
Large Shield	lrg
Kite Shield	kit
Tower Shield	tow
Gothic Shield	gts
Gloves(L)	lgl
Heavy Gloves	vgl
Bracers(M)	mgl
Light Gauntlets	tgl
Gaunlets(H)	hgl
Leather Boots	lbt
Heavy Boots	vbt
Chain Boots	mbt
Light Plate Boots	tbt
Plate Boots	hbt
Sash(L)	lbl
Light Belt	vbl
Belt(M)	mbl
Heavy Belt	tbl
Girdle(H)	hbl
Bone Helm	bhm
Bone Shield	bsh
Spiked Shield	spk
Expansion	
Throwing Knife	tkf
Throwing Axe	tax
Balanced Knife	bkf
Balanced Axe	bal
Javelin	jav
Pilum	pil
Short Spear	ssp
Glaive	glv
Throwing Spear	tsp
Katar	ktr
Wrist Blade	wrb
Axe Fist	axf
Cestus	ces
Claws	clw
Blade Talons	btl
Scissors Katar	skr
Circlet	ci0
Coronet	ci1
Wand	wnd
Yew Wand	ywn
Bone Wand	bwn
Grim Wand	gwn
Scepter	scp
Grand Scepter	gsc
War Scepter	wsp
Short Staff	sst
Long Staff	lst
Gnarled Staff	cst
Battle Staff	bst
War Staff	wst
Hatchet	9ha
Cleaver	9ax
Twin Axe	92a
Crowbill	9mp
Naga	9wa
Military Axe	9la
Bearded Axe 	9ba
Tabar	9bt
Gothic Axe	9ga
Ancient Axe	9gi
Burnt Wand	9wn
Petrified Wand	9yw
Tomb Wand	9bw
Grave Wand	9gw
Cudgel	9cl
Rune Scepter	9sc
Holy Water Sprinkler	9qs
Divine Scepter	9ws
Barbed Club	9sp
Flanged Mace	9ma
Jagged Star	9mt
Knout	9fl
Battle Hammer	9wh
War Club	9m9
Martel de Fer	9gm
Gladius	9ss
Cutlass	9sm
Shamshir	9sb
Tulwar	9fc
Dimensional Blade	9cr
Battle Sword	9bs
Rune Sword	9ls
Ancient Sword	9wd
Espandon	92h
Dacian Falx	9cm
Tusk Sword	9gs
Gothic Sword	9b9
Zweihander	9fb
Executioner Sword	9gd
Poignard	9dg
Rondel	9di
Cinquedeas	9kr
Stilleto	9bl
Battle Dart	9tk
Francisca	9ta
War Dart	9bk
Hurlbat	9b8
War Javelin	9ja
Great Pilum	9pi
Simbilan	9s9
Spiculum	9gl
Harpoon	9ts
War Spear	9sr
Fuscina	9tr
War Fork	9br
Yari	9st
Lance	9p9
Lochaber Axe	9b7
Bill	9vo
Battle Scythe	9s8
Partizan	9pa
Bec-de-Corbin	9h9
Grim Scythe	9wc
Jo Staff	8ss
Quarterstaff	8ls
Cedar Staff	8cs
Gothic Staff	8bs
Rune Staff	8ws
Edge Bow	8sb
Razor Bow	8hb
Cedar Bow	8lb
Double Bow	8cb
Short Siege Bow	8s8
Long Siege Bow	8l8
Rune Bow	8sw
Gothic Bow	8lw
Arbalest	8lx
Siege Crossbow	8mx
Ballista	8hx
Chu-Ko-Nu	8rx
Quhab	9ar
Wrist Spike	9wb
Fascia	9xf
Hand Scythe	9cs
Greater Claws	9lw
Greater Talons	9tw
Scissors Quhab	9qr
Suwayyah	7ar
Wrist Sword	7wb
War Fist	7xf
Battle Cestus	7cs
Feral Claws	7lw
Runic Talons	7tw
Scissors Suwayyah	7qr
Tomahawk	7ha
Small Crescent	7ax
Ettin Axe	72a
War Spike	7mp
Berserker Axe	7wa
Feral Axe	7la
Silver-edged Axe	7ba
Decapitator	7bt
Champion Axe	7ga
Glorious Axe	7gi
Polished Wand	7wn
Ghost Wand	7yw
Lich Wand	7bw
Unearthed Wand	7gw
Truncheon	7cl
Mighty Scepter	7sc
Seraph Rod	7qs
Caduceus	7ws
Tyrant Club	7sp
Reinforced Mace	7ma
Devil Star	7mt
Scourge	7fl
Legendary Mallet	7wh
Ogre Maul	7m7
Thunder Maul	7gm
Falcata	7ss
Ataghan	7sm
Elegant Blade	7sb
Hydra Edge	7fc
Phase Blade	7cr
Conquest Sword	7bs
Cryptic Sword	7ls
Mythical Sword	7wd
Legend Sword	72h
Highland Blade	7cm
Balrog Blade	7gs
Champion Sword	7b7
Colossal Sword	7fb
Colossus Blade	7gd
Bone Knife	7dg
Mithral Point	7di
Fanged Knife	7kr
Legend Spike	7bl
Flying Knife	7tk
Flying Axe	7ta
Winged Knife	7bk
Winged Axe	7b8
Hyperion Javelin	7ja
Stygian Pilum	7pi
Balrog Spear	7s7
Ghost Glaive	7gl
Winged Harpoon	7ts
Hyperion Spear	7sr
Stygian Pike	7tr
Mancatcher	7br
Ghost Spear	7st
War Pike	7p7
Ogre Axe	7o7
Colossus Voulge	7vo
Thresher	7s8
Cryptic Axe	7pa
Great Poleaxe	7h7
Giant Thresher	7wc
Walking Stick	6ss
Stalagmite	6ls
Elder Staff	6cs
Shillelagh	6bs
Archon Staff	6ws
Spider Bow	6sb
Blade Bow	6hb
Shadow Bow	6lb
Great Bow	6cb
Diamond Bow	6s7
Crusader Bow	6l7
Ward Bow	6sw
Hydra Bow	6lw
Pellet Bow	6lx
Gorgon Crossbow	6mx
Colossus Crossbow	6hx
Demon Crossbow	6rx
Eagle Orb	ob1
Sacred Globe	ob2
Smoked Sphere	ob3
Clasped Orb	ob4
Jared's Stone	ob5
Stag Bow	am1
Reflex Bow	am2
Maiden Spear	am3
Maiden Pike	am4
Maiden Javelin	am5
Glowing Orb	ob6
Crystalline Globe	ob7
Cloudy Sphere	ob8
Sparkling Ball	ob9
Swirling Crystal	oba
Ashwood Bow	am6
Ceremonial Bow	am7
Ceremonial Spear	am8
Ceremonial Pike	am9
Ceremonial Javelin	ama
Heavenly Stone	obb
Eldritch Orb	obc
Demon Heart	obd
Vortex Orb	obe
Dimensional Shard	obf
Matriarchal Bow	amb
Grand Matron Bow	amc
Matriarchal Spear	amd
Matriarchal Pike	ame
Matriarchal Javelin	amf
War Hat	xap
Sallet	xkp
Casque	xlm
Basinet	xhl
Winged Helm	xhm
Grand Crown	xrn
Death Mask	xsk
Ghost Armor	xui
Serpentskin Armor	xea
Demonhide Armor	xla
Trellised Armor	xtu
Linked Mail	xng
Tigulated Mail	xcl
Mesh Armor	xhn
Cuirass	xrs
Russet Armor	xpl
Templar Coat	xlt
Sharktooth Armor	xld
Embossed Plate	xth
Chaos Armor	xul
Ornate Armor	xar
Mage Plate	xtp
Defender	xuc
Round Shield	xml
Scutum	xrg
Dragon Shield	xit
Pavise	xow
Ancient Shield	xts
Demonhide Gloves	xlg
Sharkskin Gloves	xvg
Heavy Bracers	xmg
Battle Gauntlets	xtg
War Gauntlets	xhg
Demonhide Boots	xlb
Sharkskin Boots	xvb
Mesh Boots	xmb
Battle Boots	xtb
War Boots	xhb
Demonhide Sash	zlb
Sharkskin Belt	zvb
Mesh Belt	zmb
Battle Belt	ztb
War Belt	zhb
Grim Helm	xh9
Grim Shield	xsh
Barbed Shield	xpk
Wolf Head	dr1
Hawk Helm	dr2
Antlers	dr3
Falcon Mask	dr4
Spirit Mask	dr5
Jawbone Cap	ba1
Fanged Helm	ba2
Horned Helm	ba3
Assault Helmet	ba4
Avenger Guard	ba5
Targe	pa1
Rondache	pa2
Heraldic Shield	pa3
Aerin Shield	pa4
Crown Shield	pa5
Preserved Head	ne1
Zombie Head	ne2
Unraveller Head	ne3
Gargoyle Head	ne4
Demon Head	ne5
Tiara	ci2
Diadem	ci3
Shako	uap
Hydraskull	ukp
Armet	ulm
Giant Conch	uhl
Spired Helm	uhm
Corona	urn
Demonhead	usk
Dusk Shroud	uui
Wyrmhide	uea
Scarab Husk	ula
Wire Fleece	utu
Diamond Mail	ung
Loricated Mail	ucl
Boneweave	uhn
Great Hauberk	urs
Balrog Skin	upl
Hellforge Plate	ult
Kraken Shell	uld
Lacquered Plate	uth
Shadow Plate	uul
Sacred Armor	uar
Archon Plate	utp
Heater	uuc
Luna	uml
Hyperion	urg
Monarch	uit
Aegis	uow
Ward	uts
Bramble Mitts	ulg
Vampirebone Gloves	uvg
Vambraces	umg
Crusader Gauntlets	utg
Ogre Gauntlets	uhg
Wyrmhide Boots	ulb
Scarabshell Boots	uvb
Boneweave Boots	umb
Mirrored Boots	utb
Myrmidon Greaves	uhb
Spiderweb Sash	ulc
Vampirefang Belt	uvc
Mithril Coil	umc
Troll Belt	utc
Colossus Girdle	uhc
Bone Visage	uh9
Troll Nest	ush
Blade Barrier	upk
Alpha Helm	dr6
Griffon Headress	dr7
Hunter's Guise	dr8
Sacred Feathers	dr9
Totemic Mask	dra
Jawbone Visor	ba6
Lion Helm	ba7
Rage Mask	ba8
Savage Helmet	ba9
Slayer Guard	baa
Akaran Targe	pa6
Akaran Rondache	pa7
Protector Shield	pa8
Gilded Shield	pa9
Royal Shield	paa
Mummified Trophy	ne6
Fetish Trophy	ne7
Sexton Trophy	ne8
Cantor Trophy	ne9
Heirophant Trophy	nea
Blood Spirit	drb
Sun Spirit	drc
Earth Spirit	drd
Sky Spirit	dre
Dream Spirit	drf
Carnage Helm	bab
Fury Visor	bac
Destroyer Helm	bad
Conqueror Crown	bae
Guardian Crown	baf
Sacred Targe	pab
Sacred Rondache	pac
Ancient Shield	pad
Zakarum Shield	pae
Vortex Shield	paf
Minion Skull	neb
Hellspawn Skull	neg
Overseer Skull	ned
Succubus Skull	nee
Bloodlord Skull	nef
