npc	buy mult	sell mult	rep mult	questflag A	questbuymult A	questsellmult A	questrepmult A	questflag B	questbuymult B	questsellmult B	questrepmult B	questflag C	questbuymult C	questsellmult C	questrepmult C	max buy	max buy (N)	max buy (H)
gheed	512	1088	128	4	1024	922	1024									50000	300000	350000
charsi	512	960	128	4	1024	922	1024									50000	300000	350000
akara	512	1024	128	4	1024	922	1024									50000	300000	350000
lysander	512	1024	128	9	1024	922	1024									100000	300000	350000
drognan	512	1024	128	9	1024	922	1024									100000	300000	350000
elzix	512	1024	128	9	1024	922	1024									100000	300000	350000
fara	512	1024	128	9	1024	922	1024									100000	300000	350000
hratli	512	1024	128	17	1024	922	1024									150000	300000	350000
alkor	512	1024	128	17	1024	922	1024									150000	300000	350000
ormus	512	1024	128	17	1024	922	1024									150000	300000	350000
asheara	512	1024	128	17	1024	922	1024									150000	300000	350000
jamella	512	1024	128													200000	300000	350000
halbu	512	1024	128													200000	300000	350000
malah	512	2048	128	35	1024	512	1024									250000	300000	350000
drehya	512	2048	128	35	1024	512	1024									250000	300000	350000
larzuk	512	2048	128	35	1024	512	1024									250000	300000	350000
nihlathak	512	2048	128	35	1024	512	1024									250000	300000	350000
